YEAR_MONTH,"REGIONAL_OFFICE_NAME","REGIONAL_OFFICE_CODE","ICB_NAME","ICB_CODE","PCO_NAME","PCO_CODE","PRACTICE_NAME","PRACTICE_CODE","ADDRESS_1","ADDRESS_2","ADDRESS_3","ADDRESS_4","POSTCODE","BNF_CHEMICAL_SUBSTANCE","CHEMICAL_SUBSTANCE_BNF_DESCR","BNF_CODE","BNF_DESCRIPTION","BNF_CHAPTER_PLUS_CODE",QUANTITY,ITEMS,TOTAL_QUANTITY,ADQUSAGE,NIC,ACTUAL_COST,"UNIDENTIFIED"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0402010J0","Haloperidol","0402010J0AABCBC","Haloperidol 5mg/5ml oral solution sugar free","04: Central Nervous System","200.",1,"200.",25,"14.3","13.39006","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0402010J0","Haloperidol","0402010J0AABCBC","Haloperidol 5mg/5ml oral solution sugar free","04: Central Nervous System","100.",1,"100.",12.5,"7.15","6.70123","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0402010K0","Levomepromazine maleate","0402010K0AAAAAA","Levomepromazine 25mg tablets","04: Central Nervous System","14.",1,"14.",1.16667,"3.38","3.27439","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0402010K0","Levomepromazine maleate","0402010K0AAAAAA","Levomepromazine 25mg tablets","04: Central Nervous System","28.",1,"28.",2.33333,"6.75","6.42703","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0402010L0","Levomepromazine hydrochloride","0402010L0AAAAAA","Levomepromazine 25mg/1ml solution for injection ampoules","04: Central Nervous System","10.",1,"10.",0,"20.13","18.84403","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0402030Q0","Valproic acid","0402030Q0BBAAAA","Depakote 250mg gastro-resistant tablets","04: Central Nervous System","30.",3,"90.",18.75,"17.07","16.0062","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0402030Q0","Valproic acid","0402030Q0BBAAAA","Depakote 250mg gastro-resistant tablets","04: Central Nervous System","56.",1,"56.",11.66667,"10.62","10.04742","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0402030Q0","Valproic acid","0402030Q0BBABAB","Depakote 500mg gastro-resistant tablets","04: Central Nervous System","84.",1,"84.",35,"31.84","29.89875","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0402030Q0","Valproic acid","0402030Q0BBABAB","Depakote 500mg gastro-resistant tablets","04: Central Nervous System","28.",1,"28.",11.66667,"10.61","10.03807","N"
202205,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","12F00","EASTHAM GROUP PRACTICE","N85005","EASTHAM GROUP PRACTICE","TREE TOPS PRIMARY HTH CTR","BRIDLE ROAD","BROMBOROUGH,WIRRAL","CH62 6EE","0402030Q0","Valproic acid","0402030Q0BBABAB","Depakote 500mg gastro-resistant tablets","04: Central Nervous System","56.",2,"112.",46.66667,"42.44","39.92746","N"
